product_id,attibutename,attributevalue
268378548,blouse_color,Not Available
268394266,blouse_color,Pink
268427896,blouse_color,Black
268432402,blouse_color,White
268296901,blouse_color,Not Available
268401999,blouse_color,Multicolor
268248433,blouse_color,Red
268255496,blouse_color,Not Available
268401628,blouse_color,Black
268270497,blouse_color,Yellow
268573409,blouse_color,Not Available
268410366,blouse_color,Pink
268319645,blouse_color,Red
268441973,blouse_color,Green
268370923,blouse_color,Yellow
268436049,blouse_color,Purple
268572496,blouse_color,Not Available
268249015,blouse_color,Black
268477052,blouse_color,Beige
268507666,blouse_color,Not Available
268306868,blouse_color,Not Available
268570931,blouse_color,Red
268168524,blouse_color,Purple
268565255,blouse_color,Brown
268472767,blouse_color,Multicolor
268331559,blouse_color,Black
268402625,blouse_color,Green
268423840,blouse_color,Navy Blue
268271705,blouse_color,Pink
268262807,blouse_color,Not Available
268314375,blouse_color,Pink
268614567,blouse_color,Black
268265037,blouse_color,White
268507889,blouse_color,Pink
268371650,blouse_color,Not Available
268558591,blouse_color,Not Available
268279116,blouse_color,Brown
268368737,blouse_color,Blue
268288264,blouse_color,Multicolor
268314493,blouse_color,Green
268438081,blouse_color,Pink
268463945,blouse_color,Multicolor
268320859,blouse_color,Not Available
268397270,blouse_color,Blue
268466685,blouse_color,Pink
268301958,blouse_color,White
268554445,blouse_color,Red
268327629,blouse_color,Pink
268539285,blouse_color,Red
268283668,blouse_color,Black
268262905,blouse_color,Not Available
268552739,blouse_color,Not Available
268359165,blouse_color,Blue
268400615,blouse_color,Not Available
268559123,blouse_color,White
268358143,blouse_color,Grey
268451748,blouse_color,Not Available
268265308,blouse_color,Black
268378981,blouse_color,Purple
268541055,blouse_color,Not Available
268379652,blouse_color,Pink
268557543,blouse_color,Grey
268623501,blouse_color,Not Available
268438453,blouse_color,Not Available
268314370,blouse_color,Black
268144163,blouse_color,Pink
268574206,blouse_color,Not Available
268534134,blouse_color,Not Available
268403135,blouse_color,Not Available
268421428,blouse_color,Not Available
268411123,blouse_color,Multicolor
268378330,blouse_color,Beige
268554977,blouse_color,Black
268293134,blouse_color,Multicolor
268430245,blouse_color,Black
268249329,blouse_color,Not Available
268260259,blouse_color,Green
268408232,blouse_color,Pink
268380491,blouse_color,Green
268569758,blouse_color,Not Available
268425780,blouse_color,Pink
268597391,blouse_color,Not Available
268494385,blouse_color,Not Available
268269291,blouse_color,Multicolor
268603372,blouse_color,Pink
268401581,blouse_color,Blue
268470704,blouse_color,Maroon
268323139,blouse_color,Green
268297773,blouse_color,Silver
268301004,blouse_color,Pink
268298138,blouse_color,Grey
268377098,blouse_color,Pink
268436613,blouse_color,Yellow
268440398,blouse_color,Pink
268289264,blouse_color,Green
268374947,blouse_color,Not Available
268418020,blouse_color,Maroon
268422855,blouse_color,Multicolor
268289787,blouse_color,Purple
268418464,blouse_color,Green
268394133,blouse_color,Maroon
268249956,blouse_color,Green
268254093,blouse_color,Not Available
268432003,blouse_color,Green
268399134,blouse_color,Brown
268393325,blouse_color,Red
268525628,blouse_color,Not Available
268411182,blouse_color,Not Available
268420322,blouse_color,Multicolor
268432491,blouse_color,Green
268426218,blouse_color,Green
268446242,blouse_color,Blue
268127329,blouse_color,Black
268562001,blouse_color,Blue
268407434,blouse_color,White
268329337,blouse_color,Not Available
268376704,blouse_color,Grey
268578430,blouse_color,Not Available
268409064,blouse_color,Multicolor
268288721,blouse_color,Black
268290003,blouse_color,Black
268321475,blouse_color,Orange
268207942,blouse_color,Grey
268550841,blouse_color,Not Available
268563262,blouse_color,Yellow
268440593,blouse_color,Black
268380469,blouse_color,Beige
268314553,blouse_color,Red
268430938,blouse_color,Maroon
268521404,blouse_color,Red
268461662,blouse_color,Red
268433542,blouse_color,Not Available
268264805,blouse_color,White
268614034,blouse_color,Yellow
268572777,blouse_color,Brown
268318151,blouse_color,Navy Blue
268414309,blouse_color,Not Available
268147406,blouse_color,Multicolor
268428177,blouse_color,Not Available
268397367,blouse_color,Multicolor
268550201,blouse_color,Beige
268287159,blouse_color,Green
268436467,blouse_color,Coral
268568224,blouse_color,Green
268558545,blouse_color,Navy Blue
268283670,blouse_color,Black
268566568,blouse_color,Blue
268377804,blouse_color,Blue
268554722,blouse_color,Not Available
268349169,blouse_color,Multicolor
268406253,blouse_color,Blue
268267027,blouse_color,Red
268426266,blouse_color,Grey
268409524,blouse_color,Multicolor
268541321,blouse_color,Pink
268257012,blouse_color,Not Available
268280081,blouse_color,Multicolor
268398224,blouse_color,Multicolor
268559036,blouse_color,Yellow
268350325,blouse_color,Black
268440448,blouse_color,White
268447036,blouse_color,Not Available
268424305,blouse_color,Cream
268325623,blouse_color,Black
268261304,blouse_color,Red
268286161,blouse_color,Pink
268375262,blouse_color,Not Available
268388692,blouse_color,Blue
268254526,blouse_color,Purple
268327310,blouse_color,Not Available
268613792,blouse_color,Blue
268325493,blouse_color,Blue
268253718,blouse_color,Not Available
268531683,blouse_color,Brown
268412791,blouse_color,Beige
268363352,blouse_color,Not Available
268434457,blouse_color,Pink
268440456,blouse_color,White
268574900,blouse_color,Yellow
268461281,blouse_color,Not Available
268517838,blouse_color,Not Available
268412592,blouse_color,Black
268543796,blouse_color,Yellow
268487545,blouse_color,Green
268568586,blouse_color,Black
268398353,blouse_color,White
268395149,blouse_color,White
268533220,blouse_color,Not Available
268371665,blouse_color,Maroon
268272051,blouse_color,Red
268422348,blouse_color,Multicolor
268402445,blouse_color,Not Available
268419211,blouse_color,Green
268418985,blouse_color,Not Available
268383478,blouse_color,Red
268300960,blouse_color,Multicolor
268574728,blouse_color,Maroon
268405560,blouse_color,Grey
268366309,blouse_color,Black
268304012,blouse_color,Multicolor
268437089,blouse_color,Not Available
268492828,blouse_color,Multicolor
268369852,blouse_color,Not Available
268306472,blouse_color,Pink
268314823,blouse_color,Blue
268283381,blouse_color,Pink
268420517,blouse_color,Pink
268248987,blouse_color,Purple
268423475,blouse_color,Green
268549633,blouse_color,Not Available
268547359,blouse_color,White
268065542,blouse_color,Teal
268277601,blouse_color,Navy Blue
268422857,blouse_color,Red
268428616,blouse_color,Black
268494340,blouse_color,White
268346015,blouse_color,Not Available
268570894,blouse_color,Not Available
268144157,blouse_color,Green
268493923,blouse_color,Orange
268554606,blouse_color,Not Available
268537582,blouse_color,White
268267090,blouse_color,Maroon
268274743,blouse_color,Purple
268530803,blouse_color,Red
268421142,blouse_color,Multicolor
268277103,blouse_color,White
268326236,blouse_color,White
268288326,blouse_color,Maroon
268395471,blouse_color,Black
268435657,blouse_color,Not Available
268528989,blouse_color,Green
268431865,blouse_color,Blue
268396052,blouse_color,Red
268487732,blouse_color,Red
268455123,blouse_color,Not Available
268389484,blouse_color,Black
268298387,blouse_color,Not Available
268482192,blouse_color,Not Available
268588490,blouse_color,Black
268404394,blouse_color,Green
268420732,blouse_color,Purple
268352786,blouse_color,Not Available
268285734,blouse_color,Not Available
268486416,blouse_color,Not Available
268614391,blouse_color,Green
268424072,blouse_color,Purple
268375925,blouse_color,Maroon
268393574,blouse_color,Purple
268413107,blouse_color,Purple
268396670,blouse_color,Pink
268614974,blouse_color,Black
268400358,blouse_color,Not Available
268387965,blouse_color,Black
268470917,blouse_color,Not Available
268251799,blouse_color,Green
268644822,blouse_color,Purple
268524451,blouse_color,Blue
268481776,blouse_color,Not Available
268614971,blouse_color,Pink
268431355,blouse_color,Green
268248683,blouse_color,Not Available
268614976,blouse_color,Blue
268451343,blouse_color,Not Available
268269650,blouse_color,Yellow
268414634,blouse_color,Maroon
268409802,blouse_color,Not Available
268383860,blouse_color,Not Available
268314168,blouse_color,Black
268301869,blouse_color,White
268457325,blouse_color,Pink
